WORD,COUNT,TIMESTAMP
mr,175,2019-07-29 22:45:12
barrack,79,2019-07-29 22:45:12
trump,52,2019-07-29 22:45:12
campaign,38,2019-07-29 22:45:12
united,35,2019-07-29 22:45:12
foreign,32,2019-07-29 22:45:12
manafort,28,2019-07-29 22:45:12
said,27,2019-07-29 22:45:12
barrack’s,26,2019-07-29 22:45:12
saudi,24,2019-07-29 22:45:12
trump’s,21,2019-07-29 22:45:12
arab,19,2019-07-29 22:45:12
gulf,18,2019-07-29 22:45:12
almalik,18,2019-07-29 22:45:12
states,18,2019-07-29 22:45:12
people,16,2019-07-29 22:45:12
prince,16,2019-07-29 22:45:12
arabia,14,2019-07-29 22:45:12
would,14,2019-07-29 22:45:12
inaugural,14,2019-07-29 22:45:12
persian,13,2019-07-29 22:45:12
prosecutors,12,2019-07-29 22:45:12
influence,12,2019-07-29 22:45:12
familiar,12,2019-07-29 22:45:12
whether,12,2019-07-29 22:45:12
inquiry,12,2019-07-29 22:45:12
aides,12,2019-07-29 22:45:12
WORD,COUNT,TIMESTAMP
mr,126,2019-07-29 22:45:43
trump,61,2019-07-29 22:45:43
coats,57,2019-07-29 22:45:43
intelligence,55,2019-07-29 22:45:43
ratcliffe,48,2019-07-29 22:45:43
president,35,2019-07-29 22:45:43
said,32,2019-07-29 22:45:43
former,21,2019-07-29 22:45:43
russia,19,2019-07-29 22:45:43
director,18,2019-07-29 22:45:43
republican,18,2019-07-29 22:45:43
trump’s,17,2019-07-29 22:45:43
mueller,17,2019-07-29 22:45:43
national,16,2019-07-29 22:45:43
house,16,2019-07-29 22:45:43
chief,15,2019-07-29 22:45:43
john,14,2019-07-29 22:45:43
york,13,2019-07-29 22:45:43
last,12,2019-07-29 22:45:43
people,12,2019-07-29 22:45:43
president’s,12,2019-07-29 22:45:43
white,11,2019-07-29 22:45:43
one,10,2019-07-29 22:45:43
security,10,2019-07-29 22:45:43
truth,10,2019-07-29 22:45:43
e,9,2019-07-29 22:45:43
staunch,9,2019-07-29 22:45:43
WORD,COUNT,TIMESTAMP
mr,58,2019-08-03 15:42:19
intelligence,41,2019-08-03 15:42:19
trump,40,2019-08-03 15:42:19
house,34,2019-08-03 15:42:19
ratcliffe,33,2019-08-03 15:42:19
director,33,2019-08-03 15:42:19
white,30,2019-08-03 15:42:19
said,30,2019-08-03 15:42:19
national,25,2019-08-03 15:42:19
office,22,2019-08-03 15:42:19
administration,16,2019-08-03 15:42:19
gordon,16,2019-08-03 15:42:19
john,15,2019-08-03 15:42:19
would,15,2019-08-03 15:42:19
vetting,14,2019-08-03 15:42:19
according,14,2019-08-03 15:42:19
acting,14,2019-08-03 15:42:19
position,13,2019-08-03 15:42:19
president,12,2019-08-03 15:42:19
ms,12,2019-08-03 15:42:19
nominate,11,2019-08-03 15:42:19
pick,11,2019-08-03 15:42:19
nominee,11,2019-08-03 15:42:19
also,11,2019-08-03 15:42:19
republican,10,2019-08-03 15:42:19
texas,10,2019-08-03 15:42:19
whether,10,2019-08-03 15:42:19
